Nom/ID,subject,predicate,object,graph
q0,<http://fr.dbpedia.org/resource/Goroka_Airport>,<http://sw-portal.deri.org/ontologies/swportal/inCity>,Goroka,http://MonSchema
q1,<http://fr.dbpedia.org/resource/Goroka_Airport>,<http://sw-portal.deri.org/ontologies/swportal/inCountry>,Papua New Guinea,http://MonSchema
q2,<http://fr.dbpedia.org/resource/Goroka_Airport>,<http://www.w3.org/2003/01/geo/wgs84_pos/lat>,-6.0816898345900015,http://MonSchema
q3,<http://fr.dbpedia.org/resource/Goroka_Airport>,<http://www.w3.org/2003/01/geo/wgs84_pos/long>,145.391998291,http://MonSchema
q4,<http://fr.dbpedia.org/resource/Goroka_Airport>,<http://dbpedia.org/ontology/alitude>,5282,http://MonSchema
q5,<http://fr.dbpedia.org/resource/Madang_Airport>,<http://sw-portal.deri.org/ontologies/swportal/inCity>,Madang,http://MonSchema
q6,<http://fr.dbpedia.org/resource/Madang_Airport>,<http://sw-portal.deri.org/ontologies/swportal/inCountry>,Papua New Guinea,http://MonSchema
q7,<http://fr.dbpedia.org/resource/Madang_Airport>,<http://www.w3.org/2003/01/geo/wgs84_pos/lat>,-5.20707988739,http://MonSchema
q8,<http://fr.dbpedia.org/resource/Madang_Airport>,<http://www.w3.org/2003/01/geo/wgs84_pos/long>,145.789001465,http://MonSchema
q9,<http://fr.dbpedia.org/resource/Madang_Airport>,<http://dbpedia.org/ontology/alitude>,20,http://MonSchema
q10,<http://fr.dbpedia.org/resource/Mount_Hagen_Kagamuga_Airport>,<http://sw-portal.deri.org/ontologies/swportal/inCity>,Mount Hagen,http://MonSchema
q11,<http://fr.dbpedia.org/resource/Mount_Hagen_Kagamuga_Airport>,<http://sw-portal.deri.org/ontologies/swportal/inCountry>,Papua New Guinea,http://MonSchema
q12,<http://fr.dbpedia.org/resource/Mount_Hagen_Kagamuga_Airport>,<http://www.w3.org/2003/01/geo/wgs84_pos/lat>,-5.826789855957031,http://MonSchema
q13,<http://fr.dbpedia.org/resource/Mount_Hagen_Kagamuga_Airport>,<http://www.w3.org/2003/01/geo/wgs84_pos/long>,144.29600524902344,http://MonSchema
q14,<http://fr.dbpedia.org/resource/Mount_Hagen_Kagamuga_Airport>,<http://dbpedia.org/ontology/alitude>,5388,http://MonSchema
q15,<http://fr.dbpedia.org/resource/Nadzab_Airport>,<http://sw-portal.deri.org/ontologies/swportal/inCity>,Nadzab,http://MonSchema
q16,<http://fr.dbpedia.org/resource/Nadzab_Airport>,<http://sw-portal.deri.org/ontologies/swportal/inCountry>,Papua New Guinea,http://MonSchema
q17,<http://fr.dbpedia.org/resource/Nadzab_Airport>,<http://www.w3.org/2003/01/geo/wgs84_pos/lat>,-6.569803,http://MonSchema
q18,<http://fr.dbpedia.org/resource/Nadzab_Airport>,<http://www.w3.org/2003/01/geo/wgs84_pos/long>,146.725977,http://MonSchema
q19,<http://fr.dbpedia.org/resource/Nadzab_Airport>,<http://dbpedia.org/ontology/alitude>,239,http://MonSchema
q20,<http://fr.dbpedia.org/resource/Port_Moresby_Jacksons_International_Airport>,<http://sw-portal.deri.org/ontologies/swportal/inCity>,Port Moresby,http://MonSchema
q21,<http://fr.dbpedia.org/resource/Port_Moresby_Jacksons_International_Airport>,<http://sw-portal.deri.org/ontologies/swportal/inCountry>,Papua New Guinea,http://MonSchema
q22,<http://fr.dbpedia.org/resource/Port_Moresby_Jacksons_International_Airport>,<http://www.w3.org/2003/01/geo/wgs84_pos/lat>,-9.443380355834961,http://MonSchema
q23,<http://fr.dbpedia.org/resource/Port_Moresby_Jacksons_International_Airport>,<http://www.w3.org/2003/01/geo/wgs84_pos/long>,147.22000122070312,http://MonSchema
q24,<http://fr.dbpedia.org/resource/Port_Moresby_Jacksons_International_Airport>,<http://dbpedia.org/ontology/alitude>,146,http://MonSchema
q25,<http://fr.dbpedia.org/resource/Wewak_International_Airport>,<http://sw-portal.deri.org/ontologies/swportal/inCity>,Wewak,http://MonSchema
q26,<http://fr.dbpedia.org/resource/Wewak_International_Airport>,<http://sw-portal.deri.org/ontologies/swportal/inCountry>,Papua New Guinea,http://MonSchema
q27,<http://fr.dbpedia.org/resource/Wewak_International_Airport>,<http://www.w3.org/2003/01/geo/wgs84_pos/lat>,-3.5838301181800003,http://MonSchema
q28,<http://fr.dbpedia.org/resource/Wewak_International_Airport>,<http://www.w3.org/2003/01/geo/wgs84_pos/long>,143.66900634799998,http://MonSchema
q29,<http://fr.dbpedia.org/resource/Wewak_International_Airport>,<http://dbpedia.org/ontology/alitude>,19,http://MonSchema
q30,<http://fr.dbpedia.org/resource/Narsarsuaq_Airport>,<http://sw-portal.deri.org/ontologies/swportal/inCity>,Narssarssuaq,http://MonSchema
q31,<http://fr.dbpedia.org/resource/Narsarsuaq_Airport>,<http://sw-portal.deri.org/ontologies/swportal/inCountry>,Greenland,http://MonSchema
q32,<http://fr.dbpedia.org/resource/Narsarsuaq_Airport>,<http://www.w3.org/2003/01/geo/wgs84_pos/lat>,61.1604995728,http://MonSchema
